section,emoji_handle,emoji_image,emoji_link
People,bowtie,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/bowtie.png
People,smile,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/smile.png
People,simple_smile,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/simple_smile.png
People,laughing,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/laughing.png
People,blush,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/blush.png
People,smiley,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/smiley.png
People,relaxed,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/relaxed.png
People,smirk,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/smirk.png
People,heart_eyes,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/heart_eyes.png
People,kissing_heart,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing_heart.png
People,kissing_closed_eyes,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing_closed_eyes.png
People,flushed,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/flushed.png
People,relieved,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/relieved.png
People,satisfied,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/satisfied.png
People,grin,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/grin.png
People,wink,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/wink.png
People,stuck_out_tongue_winking_eye,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/stuck_out_tongue_winking_eye.png
People,stuck_out_tongue_closed_eyes,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/stuck_out_tongue_closed_eyes.png
People,grinning,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/grinning.png
People,kissing,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing.png
People,kissing_smiling_eyes,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/kissing_smiling_eyes.png
People,stuck_out_tongue,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/stuck_out_tongue.png
People,sleeping,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sleeping.png
People,worried,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/worried.png
People,frowning,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/frowning.png
People,anguished,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/anguished.png
People,open_mouth,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/open_mouth.png
People,grimacing,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/grimacing.png
People,confused,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/confused.png
People,hushed,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/hushed.png
People,expressionless,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/expressionless.png
People,unamused,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/unamused.png
People,sweat_smile,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sweat_smile.png
People,sweat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sweat.png
People,disappointed_relieved,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/disappointed_relieved.png
People,weary,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/weary.png
People,pensive,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/pensive.png
People,disappointed,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/disappointed.png
People,confounded,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/confounded.png
People,fearful,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/fearful.png
People,cold_sweat,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cold_sweat.png
People,persevere,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/persevere.png
People,cry,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/cry.png
People,sob,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sob.png
People,joy,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/joy.png
People,astonished,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/astonished.png
People,scream,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/scream.png
People,neckbeard,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/neckbeard.png
People,tired_face,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/tired_face.png
People,angry,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/angry.png
People,rage,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/rage.png
People,triumph,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/triumph.png
People,sleepy,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sleepy.png
People,yum,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/yum.png
People,mask,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/mask.png
People,sunglasses,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/sunglasses.png
People,dizzy_face,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/dizzy_face.png
People,imp,,http://www.webpagefx.com/tools/emoji-cheat-sheet/graphics/emojis/imp.png
